id,name,type,region,city,address,phone,availableLicenses,sourceUrl,sourceCheckedAt,note,status
gangwon-sokcho-pc-written-test,강원(속초)PC,written-test,강원,속초시,강원도 속초시 동명항길 35 속초해양경찰서,033-634-2351,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeonggi-pyeongtaek-pc-written-test,경기(평택)PC,written-test,경기,평택시,경기도 평택시 포승읍 서동대로437-27 평택해양경찰서,031-8046-2351,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeonggi-gimpo-pc-written-test,경기(김포)PC,written-test,경기,김포시,경기도 김포시 고촌읍 아라육로270번길 74,032-650-2421,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeonggi-ansan-pc-written-test,경기(안산)PC,written-test,경기,안산시,경기도 안산시 단원구 대부황금로 1569 안산파출소,031-8046-2351,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongbuk-pohang-pc-written-test,경북(포항)PC,written-test,경북,포항시,경상북도 포항시 북구 소티재로 151번길 21 포항해양경찰서,054-750-2351,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongbuk-andong-pc-written-test,경북(안동),written-test,경북,안동시,경상북도 안동시 석주로 514,054-821-2020,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongbuk-uljin-pc-written-test,경북(울진),written-test,경북,울진군,"경상북도 울진군 후포면 후포로 72, 3층",054-502-2251,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongnam-tongyeong-pc-written-test,경남(통영)PC,written-test,경남,통영시,경상남도 통영시 광도면 죽림2로 45 통영해양경찰서,055-647-2551,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongnam-sacheon-pc-written-test,경남(사천)PC,written-test,경남,사천시,경상남도 사천시 용현면 시청1길 59 사천해양경찰서,055-830-2349,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeongnam-changwon-pc-written-test,경남(창원)PC,written-test,경남,창원시,경상남도 창원시 마산합포구 신포동1가 86-2 창원해양경찰서,055-981-2349,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
jeju-jeju-pc-written-test,제주(제주)PC,written-test,제주,제주시,제주특별자치도 제주시 임항로 154번지 제주해양경찰서,064-766-2251,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
jeju-seogwipo-pc-written-test,제주(서귀포)PC,written-test,제주,서귀포시,제주특별자치도 서귀포시 서호남로 11 서귀포해양경찰서,064-793-2449,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(상설PC)시험장 목록에서 확인,active
gyeonggi-gapyeong-special-written-test,경기(가평),written-test,경기,가평군,경기도 가평군 호반로 162,031-584-5700,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(특별)시험장 목록에서 확인,active
gyeonggi-yeoju-special-written-test,경기(여주),written-test,경기,여주시,경기도 여주시 강변북로 163,031-880-4084,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(특별)시험장 목록에서 확인,active
chungbuk-chungju-special-written-test,충북(충주),written-test,충북,충주시,충청북도 충주시 동량면 미라실로 763,043-856-3119,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(특별)시험장 목록에서 확인,active
gyeongbuk-andong-special-written-test,경북(안동),written-test,경북,안동시,경상북도 안동시 석주로 514,054-821-2020,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(특별)시험장 목록에서 확인,active
gyeongnam-hapcheon-special-written-test,경남(합천),written-test,경남,합천군,경상남도 합천군 봉산면 서부로 4270-8,055-933-1973,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 필기(특별)시험장 목록에서 확인,active
